Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1998-99,DAL,NBA,50,19,31,0.38,-2.4,-0.1,-2.5,89,102.3,104.9,0.459,13.2,29.8,0.218,0.476,13.3,30.9,0.212
1998-99,DEN,NBA,50,14,36,0.28,-6.6,-0.07,-6.67,90.5,103.1,110.4,0.459,13.9,30.1,0.253,0.499,13.2,30.8,0.248
1998-99,DET*,NBA,50,29,21,0.58,3.42,0.55,3.97,86.3,104.2,100.3,0.48,15.6,30.5,0.256,0.468,15.4,28,0.259
1998-99,GSW,NBA,50,21,29,0.42,-2.5,-0.13,-2.63,88.9,98.4,101.1,0.434,14.1,35.2,0.19,0.445,14,29.6,0.29
1998-99,HOU*,NBA,50,31,19,0.62,2.32,-0.93,1.39,88.8,105.4,102.9,0.506,15.8,27.8,0.228,0.461,12.4,30.1,0.188
1998-99,IND*,NBA,50,33,17,0.66,3.74,0.12,3.86,86.4,108.7,104.4,0.486,12.8,28.7,0.253,0.46,12.7,30.1,0.236
1998-99,LAC,NBA,50,9,41,0.18,-8.82,-0.12,-8.94,89.5,100,109.7,0.454,14.9,30.6,0.22,0.503,14.8,33.1,0.279
1998-99,LAL*,NBA,50,31,19,0.62,3.02,-0.35,2.68,91.6,107.6,104.3,0.498,14.1,30.6,0.261,0.468,13.3,29.8,0.267
1998-99,MIA*,NBA,50,33,17,0.66,4.96,0.15,5.11,84.8,104.7,98.9,0.494,15.3,27.3,0.26,0.439,13.6,29,0.226
1998-99,MIL*,NBA,50,28,22,0.56,1.66,0,1.66,87,104.9,103,0.489,14.3,29,0.222,0.463,16,32.4,0.275
1998-99,MIN*,NBA,50,25,25,0.5,0.38,-0.55,-0.17,91,101.9,101.5,0.439,11.7,32.5,0.196,0.467,15.8,29.8,0.276
1998-99,NJN,NBA,50,16,34,0.32,-3.78,0.58,-3.2,91.5,99.5,103.6,0.434,13.7,31.1,0.231,0.481,15.2,30.3,0.238
1998-99,NYK*,NBA,50,27,23,0.54,1.02,0.43,1.45,86.9,98.6,97.5,0.463,15.9,27.9,0.241,0.434,14.9,29,0.258
1998-99,ORL*,NBA,50,33,17,0.66,2.6,0.51,3.11,88.8,100.3,97.4,0.456,15.4,32.6,0.222,0.473,16.7,29.2,0.181
1998-99,PHI*,NBA,50,28,22,0.56,2.06,0.5,2.56,88.6,99.9,97.6,0.439,15.3,34.2,0.276,0.454,17.1,30.2,0.249
1998-99,PHO*,NBA,50,27,23,0.54,2.26,-0.11,2.15,90,105.8,103.3,0.481,13,28.4,0.231,0.485,15.4,30.2,0.216
1998-99,POR*,NBA,50,35,15,0.7,6.36,-0.69,5.67,89.2,104.8,97.7,0.473,14.5,31.8,0.253,0.445,14.9,28.2,0.233
1998-99,SAC*,NBA,50,27,23,0.54,-0.42,-0.47,-0.89,96,102.7,103.1,0.479,14.7,30.6,0.205,0.471,13.7,32.3,0.176
1998-99,SAS*,NBA,50,37,13,0.74,8.06,-0.94,7.12,88.6,104,95,0.479,14.6,30.4,0.259,0.423,13.8,30.5,0.198
1998-99,SEA,NBA,50,25,25,0.5,-1.08,-0.35,-1.43,89.6,105,106.2,0.481,14.3,31.9,0.232,0.489,14.1,31.4,0.213
1998-99,TOR,NBA,50,23,27,0.46,-1.64,0.33,-1.32,88.8,102,103.9,0.45,15,33.8,0.257,0.473,14.8,29.8,0.258
1998-99,UTA*,NBA,50,37,13,0.74,6.52,-0.99,5.54,87,105.8,98.4,0.485,16,30,0.32,0.441,14.4,29.6,0.242
1998-99,VAN,NBA,50,8,42,0.16,-8.66,-0.28,-8.94,89,98.4,107.9,0.447,16,30.9,0.263,0.492,14.7,33.1,0.261
1998-99,WAS,NBA,50,18,32,0.36,-2.24,0.49,-1.75,89.8,101.2,103.7,0.468,14.1,28.2,0.213,0.474,15.1,30.5,0.273
